Formation_energy,ICSD_id,of_Atoms,Volume,Stability
-3.557364364,180417,10,107.945,0.003798185
-1.700589313,181930,10,130.787,0.003729707
-3.47419321,27048,5,74.8799,0.003656786
-3.283928962,15453,5,64.4767,0.003619402
-3.557559514,180175,10,108.226,0.003603035
-2.816942144,246921,10,140.582,0.003517015
-2.599574641,31463,5,172.47,0.003293438
-1.27676622,384,5,69.4478,0.003272023
-1.296209335,2439,20,487.322,0.003263809
-3.557927268,164506,10,108.26,0.003235281
-2.542732233,2373,10,133.471,0.003133677
-3.110865556,99548,5,82.7607,0.003119442
-2.551412692,15424,5,66.9276,0.003005732
-1.686605153,28082,5,174.723,0.00292277
-3.35096099,23076,5,59.9366,0.002888957
-0.319454484,249592,5,140.849,0.002878547
-3.35098647,56718,10,119.743,0.002863477
-2.37717721,23873,10,136.168,0.002804671
-2.51383684,1610,5,63.6189,0.00280001
-2.663729491,163867,10,135.324,0.002745853
-2.694217513,14363,5,65.7476,0.002668034
-1.08030118,69995,10,488.472,0.002622523
-1.666699748,402087,5,104.505,0.002549
-3.137269719,44521,5,81.2084,0.002524292
-2.37749826,28343,5,58.6546,0.002362098
-1.858037539,87260,10,332.037,0.002349372
-2.185404966,22086,10,286.772,0.002277838
-0.903968967,416176,10,284.459,0.002263042
-0.39554764,2564,10,239.138,0.002188565
-3.285397082,31155,5,64.6151,0.002151282
-2.918735763,39673,5,63.918,0.002115724
-3.497488208,165840,10,107.172,0.002088753
-3.476975355,245562,10,108.412,0.002047359
-1.416590538,59371,10,266.563,0.002036466
-1.24444213,41199,20,279.498,0.001889971
-2.38543059,37255,5,62.7276,0.001885273
-2.818575329,37254,5,70.8662,0.00188383
-2.374598138,410394,10,159.208,0.001854825
-0.160342695,79268,10,294.803,0.001806714
-1.0191808,10042,10,416.113,0.00158848
-2.216623554,15168,5,93.7991,0.001579836
-3.511065587,10333,10,105.945,0.001523418
-3.352467665,182248,10,119.622,0.001382282
-1.409818603,412763,20,451.499,0.001186536
-0.714431986,408148,10,364.027,0.001154696
-2.187214025,163228,5,57.0402,0.001152443
-1.487152196,33920,5,142.212,0.001104486
-1.476152948,281176,10,358.599,0.001079155
-2.195520586,92336,20,209.209,0.001043549
-1.572445762,23121,5,161.901,0.001020086
-1.271399216,37453,10,308.129,0.001019799
-2.379004907,10331,10,136.679,0.000976974
-0.319537895,56397,5,124.119,0.00094106
-3.286686996,73628,5,64.7656,0.000861368
-1.225467324,174041,10,318.094,0.000853039
-2.070104606,1430,10,165.976,0.000794689
-0.310583907,64659,20,520.255,0.000791502
-1.940897533,159031,10,112.841,0.000685448
-0.373672124,40757,20,539.96,0.000680911
-0.178938221,62379,10,291.916,0.00066868
-2.229160854,77243,5,184.273,0.000603474
-3.709330479,201253,5,84.5208,0.000387214
-1.370383693,36512,5,150.336,0.000385862
-0.354542945,76058,5,60.9144,0.000377069
-1.386537889,15010,10,248.957,0.000298631
-1.747232393,181084,5,112.063,0.000218678
-0.69103467,87827,10,163.305,0.000204635
-0.57167539,42928,5,76.1665,0.000151274
-0.331466322,76825,5,73.1347,2.41E-05
-0.386029762,77390,5,71.0653,2.04E-05
-0.508708977,77385,5,69.0475,1.99E-05
-0.809386125,44418,5,73.9152,0
-2.183165258,15169,5,89.7683,0
-0.834625571,44438,5,72.5744,0
-0.70167875,44430,5,78.5558,0
-0.608329078,42925,5,72.9164,0
-0.657692619,44565,5,74.5908,0
-0.495816236,42923,5,119.552,0
-0.759621925,44561,5,70.1743,0
-0.698247943,44464,5,77.2592,0
-3.535454168,28949,5,60.7486,0
-0.738089184,44563,5,76.0996,0
-2.814561088,43722,5,73.5969,0
-0.632647953,93047,5,52.1638,0
-0.779371317,44568,5,74.5422,0
-0.474064239,171478,5,42.9338,0
-0.672681388,44548,5,78.0092,0
-0.518297837,76814,5,72.9423,0
-0.389902148,43848,5,116.174,0
-0.558395113,168862,5,105.673,0
-0.33491132,43854,5,120.538,0
-1.495166591,181090,5,165.847,0
-1.08078613,106320,5,117.286,0
-0.837034612,95049,5,85.0956,0
-0.413719531,43856,5,114.175,0
-1.124111153,106350,5,104.243,0
-0.433737672,43849,5,112.228,0
-0.489383971,76997,5,73.7384,0
-0.423986207,43869,5,116.908,0
-0.260760362,43865,5,125.964,0
-0.521685721,44541,5,101.139,0
-0.628722224,105692,5,133.635,0
-0.634132291,181447,5,88.0376,0
-0.831032483,62106,5,89.0652,0
-0.52996057,77033,5,72.6013,0
-0.482249423,174266,5,100.326,0
-0.540985646,108131,5,72.2558,0
-0.969366886,152052,5,140.345,0
-0.544582875,168861,5,103.486,0
-0.856991069,30751,5,91.414,0
-0.143697471,77152,5,55.4123,0
-0.563285623,77151,5,71.4022,0
-0.262140061,247273,5,69.033,0
-0.259365366,56061,5,62.2594,0
-0.657920585,181448,5,89.2359,0
-0.746081859,631358,5,89.1748,0
-2.190074868,77242,5,186.553,0
-0.188099804,43860,5,54.9256,0
-1.804024925,413389,5,109.031,0
-1.896049199,413388,5,106.814,0
-1.616721847,201036,5,136.658,0
-0.915451028,152053,5,141.169,0
-0.567518755,174261,5,110.24,0
-0.878824059,97371,5,83.2501,0
-0.716917977,161867,5,100.676,0
-0.601696547,174267,5,99.7804,0
-0.134475683,247065,5,57.9444,0
-0.937406153,74768,5,86.7322,0
-1.063639204,98508,5,102.104,0
-1.066214007,98507,5,105.208,0
-2.789035406,23151,5,64.9581,0
-1.056361551,98505,5,109.101,0
-0.950553481,74769,5,96.8314,0
