Band-gap,Formation_energy,ICSD_id,Name,of_Atoms,Prototype,Spacegroup,Stability,Volume
1.689,-3.279802678,27970,BaTiO3,5,CaTiO3,Pm-3m,0.007745686,64.076
0.721,-0.885214196,40216,RbGeI3,5,CaTiO3,Pm-3m,0.028204345,211.014
6.549,-3.470999423,171813,NaMgF3,5,CaTiO3,Pm-3m,0.040994955,56.0763
0,-0.260760362,43865,Sm3AlC,5,CaTiO3,Pm-3m,0,125.964
0,-2.095234245,29096,BaFeO3,5,CaTiO3,Pm-3m,0.031554245,62.7725
3.327,-0.385574165,165894,RbCaH3,5,CaTiO3,Pm-3m,0.020482797,88.906
1.589,-2.51383684,1610,TiPbO3,5,PbTiO3,P4mm,0.00280001,63.6189
0,-0.521685721,44541,Sc3BPb,5,CaTiO3,Pm-3m,0,101.139
0,-0.628722224,105692,SrSn3Pd,5,BaNiSn3,I4mm,0,133.635
0,-0.358162368,44586,Sc3TlB,5,CaTiO3,Pm-3m,0.060374485,102.629
0,-0.634132291,181447,CaSi3Ir,5,BaNiSn3,I4mm,0,88.0376
1.69,-3.283928962,15453,BaTiO3,5,PbTiO3,P4mm,0.003619402,64.4767
0,0.084151014,77001,Ni3GeC,5,CaTiO3,Pm-3m,0.324464103,55.3058
2.587,-0.831032483,62106,TlIO3,5,FeBiO3,R3m,0,89.0652
0,-0.52996057,77033,HoRh3C,5,CaTiO3,Pm-3m,0,72.6013
1.685,-3.280055766,27965,BaTiO3,5,BaTiO3(tet),P4/mmm,0.007492598,64.1469
0,-0.482249423,174266,BaSi3Pd,5,BaNiSn3,I4mm,0,100.326
0,-1.978392526,69360,SrRuO3,5,CaTiO3,Pm-3m,0.04550789,61.379
6.719,-3.685253828,154073,KCaF3,5,CaTiO3,Pm-3m,0.027844478,81.3914
0,-2.655622725,29118,LaFeO3,5,CaTiO3,Pm-3m,0.099062951,59.6702
0,-2.858755258,29119,LaMnO3,5,CaTiO3,Pm-3m,0.110755705,59.3165
0,-0.540985646,108131,ErRh3C,5,CaTiO3,Pm-3m,0,72.2558
0,-2.728411414,60611,NaVF3,5,CaTiO3,Pm-3m,0.168686437,62.7334
3.85,-3.617353191,29154,SrHfO3,5,CaTiO3,Pm-3m,0.035632507,68.986
0.426,-0.969366886,152052,Sr3SbN,5,CaTiO3,Pm-3m,0,140.345
0,-0.544582875,168861,SrGe3Ir,5,BaNiSn3,I4mm,0,103.486
0,-0.856991069,30751,LaSi3Ir,5,BaNiSn3,I4mm,0,91.414
